Government,Region,Issuing Area of Government,Title,Type,Date,OSS Specific?,Stated Objective: Cost,Stated Objective: Sovereignty,Stated Objective: Support for National Industry,Stated Objective: Modernization,Stated Objective: Transparency,Stated Objective: Security,Action,Term,Status,Comments,Source,Source II,Notes
Bulgaria,Europe,Executive,eGovernment Development strategy 2014-2020,Strategy,2014,No,-,-,X,X,X,-,Procurement - mandatory,OSS,Approved,"The eGovernment Development strategy lays out a road map for OSS, making it a required criterion for the eligibility of some eGovernment projects.",http://www.strategy.bg/FileHandler.ashx?fileId=8122,,
Bulgaria,Europe,Legislative,Electronic Governance Act ,Bill,2016,No,-,X,-,X,X,-,Procurement - mandatory,OSS,Approved,The Electronic Governance Act established the State eGovernment Agency (SEGA). An amendment was added in 2016 requiring all software written for or by the government to be open-source and all IT contracts to be made public.,https://www2.e-gov.bg/en/about_us,,
Bulgaria,Europe,Executive,Viability of OSS Review,Support,2008,Yes,-,-,-,X,-,-,R&D,OSS,Approved,The Bulgarian State Administration is conducting a series of reviews to discuss the viability of open source software in Bulgarian governmental institutions after a pilot program was run in November 2007.,https://joinup.ec.europa.eu/collection/nifo-national-interoperability-framework-observatory/news/bg-bulgaria-review-its-it,,
Cambodia,Asia,Ministry,"Information Communication
Technology Policy of Cambodia",Strategy,2013,No,X,-,-,X,-,-,Procurement - advisory,FLOSS / FOSS,Approved,The Information Communication Technology Policy of Cambodia released by the National Information Communications Technology Development Authority (NiDA) mentions a dual pronged approach of encouraging the use of FOSS in government and bargaining with software vendors to bring down the cost of software. ,https://www.unapcict.org/sites/default/files/2019-01/Cambodia-ICTpolicy-English.pdf,,
Cambodia,Asia,Ministry,ICT Policy,Strategy,2002,No,X,-,-,X,-,-,Procurement - advisory,OSS,Approved,The National Information Communications Technology Development Authority (NiDA) will promote open source system(s) in ICT to cut costs in a long term but also to broaden the skills and capacities of ICT professionals.,https://web.archive.org/web/20061212213107/http://www.nida.gov.kh/activities/ict_policy/ictdraft.pdf,https://web.archive.org/web/20080530010610/http://www.nida.gov.kh/activities/ict_policy/,
Cambodia,Asia,Executive,Open Source Master Plan,Strategy,2005,Yes,X,-,X,X,-,-,Procurement - advisory,FLOSS / FOSS,Approved,"The Open Source Master Plan lays out a four-year OSS adoption plan for government systems and for the development and promotion of OSS and Khmer language functionality. The plan notes OSS as an ability to bridge the digital divide in Cambodia, especially in terms of the language barrier to using technology. Cambodia hopes that using OSS will allow them to ""move into the world of technology without having to forfeit its culture."" The plan also notes that Cambodia had to create an intellectual property law after joining the WTO, which made using proprietary software without a license illegal, making OSS more attractive. ",https://web.archive.org/web/20050404161231/http://www.nida.gov.kh/activities/foss/MasterPlanFOSS.pdf,,
Cambodia,Asia,Ministry,"Speech of H.E. Sok An
During the closing of the seminar on Information Technology Awareness",Support,2001,No,-,-,X,-,-,-,Procurement - advisory,OSS,Approved,"The senior minister of the National Information Communications Technology Development Authority (NiDA) stated in their closing speech of the seminar that the preliminary action plan for NiDA will include the philosophy that all laws, regulations and policies in the IT sector will reflect the following guiding spirit and philosophy: to avoid dependency on proprietary systems, instead promoting open systems and interoperability.",https://web.archive.org/web/20031207060128/http://www.nida.gov.kh/activities/it_awareness/doc/Sok_an_closing.pdf,,
Cambodia,Asia,Ministry,Master Plan for Information and Communication Technology in Education 2009 – 2013,Strategy,2009,No,X,-,-,-,-,-,Procurement - mandatory,Both,Approved,The plan states the Ministry will use OSS whenever possible for its own databases and server software. It also states that students will learn to recognize proprietary software versus software they can use freely and share.,https://web.archive.org/web/20211117070811/http:/moeys.gov.kh/images/moeys/policies-and-strategies/145/master-plan-ict-in-education-en.pdf,,
Cambodia,Asia,Ministry,Free/Open Source Software (FOSS) Workshop,Support,2005,Yes,-,-,-,X,-,-,Training,FLOSS / FOSS,Approved,"The National Information Communications Technology Development Authority (NiDA) created a seminar to promote open source practice in Cambodia. The goal is to narrow the digital divide, in response to Cambodia’s membership in the WTO and to further strengthen the relationship between Cambodia and Japan.",https://web.archive.org/web/20080530195407/http://www.nida.gov.kh/activities/foss/,,
Canada,North America,Ministry,Directive on Management of Information Technology,Directives & Regulation,2007,No,-,-,-,-,-,-,Procurement - advisory,OSS,Replaced,Requirement C.2.3.8 requires the use of open standards and OSS first where possible. C.2.3.8.4 requires any source code written by the government to be released in an open format. Replaced by the 2020 Directive on Service and Digital.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=15249#claC.2.3.8,,
Canada,North America,Agency,Strategic Plan for Information Management and Information Technology 2017 to 2021,Strategy,2006,No,-,-,-,X,X,-,R&D,OSS,Replaced,Developed by the Treasury Board of Canada Secretariat. One of the planned actions includes developing a strategy for the use of OSS and open standards. One of the draft digital principles for building in an open and interoperable way requires giving equal consideration to open source. Replaced by the Digital Operations Strategic Plan: 2018-2022.,https://www.canada.ca/en/treasury-board-secretariat/services/information-technology/strategic-plan-2017-2021.html,,
Canada,North America,Executive,Government of Canada Digital Playbook,Other,2007,No,X,-,-,X,-,-,How to Use,OSS,Approved,"The Digital Playbook offers guidance on the benefits of leveraging OSS, including: (1) solving common problems with readily available open source technology, (2) more time and resource for customized solutions to solve the rare or unique problems, and (3) lower implementation and running costs.",https://web.archive.org/web/20210727022606/https:/canada-ca.github.io/digital-playbook-guide-numerique/views-vues/standards-normes/en/4-use-open-standards-solutions.html,,
Canada,North America,Agency,Open First Whitepaper,Other,2007,Yes,-,-,-,-,-,-,Procurement - advisory,OSS,Approved,The First Open White Paper has the stated goal of prioritizing the board's work around open approaches including standards on OSS. It has four elements: Open Standards; OSS Use; OSS Contribution (which includes publishing OSS); Open Markets; Open Culture; and some common Legal Considerations.,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/open-source-software/open-first-whitepaper.html,,
Canada,North America,Ministry,Directive on Service and Digital,Directives & Regulation,2007,No,-,-,-,-,-,-,Procurement - advisory,OSS,Approved,"The directive articulates how Government organizations manage service delivery, information and data, information technology, and cyber security in the digital era. 4.4.3.12 call for ensuring OSS is encouraged and where used, contributing to the communities whose work is being leveraged.",https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32601,,
Canada,North America,Agency,Government of Canada Digital Standards: Playbook,Other,2008,No,-,-,-,X,-,-,Procurement - mandatory,OSS,Approved,"One of the ten digital standards is to leverage open standards and embrace leading practices, including the use of open source software where appropriate.",https://www.canada.ca/en/government/system/digital-government/government-canada-digital-standards.html,,
Canada,North America,Agency,Canada's National Action Plan on Open Government: 2018-2020,Strategy,2006,No,-,-,-,-,X,-,R&D,OSS,Approved,The Canada Action Plan 2018-2020 specifies that it's the goal of the government to prioritize open source code in development of digital solutions. One of the metrics for success is the registry of OSS.,https://www.opengovpartnership.org/wp-content/uploads/2019/01/Canada_Action-Plan_2018-2020_EN.pdf,,
Canada,North America,Agency,Digital Operations Strategic Plan: 2018-2022,Strategy,2007,No,-,-,-,X,X,-,R&D,OSS,Approved,The strategic plan calls for the development of a strategy for use and release of OSS and open standards.,https://www.canada.ca/en/government/system/digital-government/government-canada-secretariat-digital-operations-strategic-plans/digital-operations-strategic-plan-2018-2022.html#ToC3,,
Chile,South America,Legislative,Draft Statement on FLOSS Implementation,Support,2008,Yes,-,-,-,-,-,-,Procurement - mandatory,FLOSS / FOSS,Approved,"The Chamber of Deputies signed a resolution asking the President to implement FLOSS in federal government agencies. NOTE: ""Cannot access the text - seems to contradict “Acuerdo” (or legislative statement) requesting that Chilean President Bachelet take the steps necessary to apply the principle of technology neutrality to IT acquisitions by the state.""	",https://www.scribd.com/doc/222190/Propuesta-del-Congreso-Chileno-para-la-utilizacion-de-Software-Libre,,"Details need to be confirmed. No access to original source, cannot locate it elsewhere."
Chile,South America,Ministry,Digital Action Plan 2008 - 2010,Strategy,2010,No,X,-,-,-,X,-,Procurement - mandatory,FLOSS / FOSS,Approved,Initiative 24 promotes the use of free software within the government. Projects under this initiative included a study on norms for the use of free software (published in 2009).,https://observatoriodigital.gob.cl/sites/default/files/plan_de_accion_2008-2010_v2.pdf,,
Chile,South America,Executive,Strategy for Digital Transformation 2018-2022,Strategy,2008,No,-,X,-,-,X,-,R&D,Public Software,Approved,"Sets the definition of a policy for ""open source first"" as an area of work for the digital transformation of the State. Also sets out a repository for software developed for and by the State, to facilitate the development of platforms of Public Software.",https://cms-dgd-prod.s3-us-west-2.amazonaws.com/uploads/pdf/Estrategia_de_transformacion_digital_2019_.pdf?,,
Chile,South America,Legislative,Statement on tech neutrality for IT acquisitions,Support,2008,No,-,-,-,-,-,-,Tech Neutrality,FLOSS / FOSS,Approved,House of Representatives passed a legislative statement requesting that President Bachelet apply a policy to tech-neutrality to IT acquisitions by the state.,http://ippa.org/jopp/download/vol8/issue-1/Article%203_Sieverding.pdf,,
Chile,South America,Legislative,Draft Bill on the Use of Free Software,Bill,2008,Yes,X,-,-,-,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,"Proposed by National Deputy Alejandro Navarro. The bill would mandate the use of OSS in all branches and levels of government, as well as State majority-owned companies.  It was declared inadmissible. ",https://web.archive.org/web/20040411204635/http://www.softwarelibre.cl/modules.php?op=modload&name=News&file=article&sid=236&mode=thread&order=0&thold=0,https://web.archive.org/web/20040111173239/http://www.navarro.cl/defensa/microsoft/doc/RazonesporlasEstadoDebeUsarSoftwareLibre.htm,
Chile,South America,Legislative,Draft Resolution on the Duty of the Public Administration to Evaluate the Procurement of Free Software,Support,2014,Yes,X,-,-,X,X,X,Procurement - mandatory,FLOSS / FOSS,Approved,The resolution requests the President modify the procurement regulation to give preference to free software and to guarantee citizens free access to digital information the State has.,https://www.camara.cl/verDoc.aspx?prmId=1989&prmDestinoId=4&prmTipo=RESOLUCIONENVIO,,
China,Asia,Ministry,"Chinese Leaders Plan to Urge Broader Reliance on Linux
",Support,2002,Yes,-,-,X,-,-,-,R&D,OSS,Approved,"Beijing Science and Technology Commission has endorsed Linux as China's most important chance to improve its software industry… the commission would urge Chinese government bodies to consider using Linux with new computer systems, and also encourage private and university software designers to develop Linux and other open source software programs.","International Trade Administration, U.S. Department of Commerce, ""Open Source Software Policy Initiatives""",https://www.wsj.com/articles/SB1028852828684379400,Details need to be confirmed - no access to original source + cannot locate it elsewhere
China,Asia,Ministry,Open Source Alliance,Support,2002,-,-,-,-,-,-,-,R&D,OSS,Approved,China's Ministry of Information Industry has established an Open Source Alliance to support Linux systems.,"International Trade Administration, U.S. Department of Commerce, ""Open Source Software Policy Initiatives""",https://www.scmp.com/article/404887/open-source-demand-fails-impress-all,Details need to be confirmed - no access to original source + cannot locate it elsewhere
China,Asia,Ministry,Implementation Measures for Government Procurement of Software,Directives & Regulation,2005,No,-,-,X,-,-,-,Procurement - advisory,OSS,Proposed,"The Ministry of Finance and the Ministry of Information Industry released proposed regulation that would limit procurement purchases to domestic companies, but in the case that domestic companies use OSS, the government would identify that software as ""domestic"". These rules were indefinitely suspended by the Chinese government.",Implementation Measures for Government Procurement of Software (Version Seeking Comments) (CECC Partial Translation) | Congressional-Executive Commission on China,http://bit.ly/3gS2DFs,
China,Asia,Ministry,Government to Fund Red Flag Linux Development,Support,2001,Yes,-,-,X,-,-,-,R&D,OSS,Proposed,"Ministry of Information Industry (MII) and the Chinese Academy of Sciences (CAS) would work together to encourage the development of the nation's software industry. According to Ministry officials, the government would fund further development of Red Flag Linux.","International Trade Administration, U.S. Department of Commerce, ""Open Source Software Policy Initiatives""",,Details need to be confirmed - no access to original source + cannot locate it elsewhere
China,Asia,Legislative,"Outline of the People's Republic of China 14th Five-Year Plan for National Economic and Social
Development and Long-Range Objectives for 2035",Bill,2021,No,-,-,X,X,-,-,Procurement - advisory,OSS,Approved,China's fourteenth five-year plan outlines agencies to support the digital technology open source communities and encourage enterprises to open up software source code.,http://www.gov.cn/xinwen/2021-03/13/content_5592681.htm,https://cset.georgetown.edu/publication/china-14th-five-year-plan/,
China,Asia,Executive,Notice of the State Council on the Publication of “Made in China 2025”,Strategy,2015,No,-,-,X,X,-,-,Procurement - advisory,OSS,Approved,Promotes the open sharing of software and services in the manufacturing field. ,http://www.gov.cn/zhengce/content/2015-05/19/content_9784.htm,,
China,Asia,Agency,14th Five-Year Plan for National Informatization,Strategy,2021,No,-,-,X,X,-,-,Procurement - advisory,OSS,Approved,The Central Commission for Cybersecurity and Informatization outlines a goal that important progress should be made in the construction of the open source community ecosystem and that agencies should support the use of domestic open source products. Also encourages international collaboration on open source and creating basic OSS platforms.,https://web.archive.org/web/20220118121010/http://www.gov.cn/xinwen/2021-12/28/5664873/files/1760823a103e4d75ac681564fe481af4.pdf,Translation: 14th Five-Year Plan for National Informatization – Dec. 2021 (stanford.edu),
China,Asia,Ministry,Software and Information Technology Service Industry Development Plan (2016-2020),Strategy,2017,No,-,-,X,-,-,-,Procurement - advisory,OSS,Approved,"The Ministry of Industry and Information Technology (MIIT) released a plan that outlines the use of open source to support and promote innovation, aims to strengthen the use of open source in technological innovation, and build a collaborative and international open source ecosystem. ",https://www.doit.com.cn/p/264925.html,,
China,Asia,Ministry,Guidelines for the Construction of the National New Generation Artificial Intelligence Open Innovation Platform,Other,2019,No,-,-,X,X,-,-,Procurement - advisory,OSS,Approved,The Ministry of Science and Technology released guidelines to encourage (especially leading companies in AI) OSS use for innovation and domestic industry development. These guidelines were created to fully implement the Notice of the State Council on Printing and Distributing the New Generation Artificial Intelligence Development Plan.,https://web.archive.org/web/20200312151948/http://www.most.gov.cn/mostinfo/xinxifenlei/fgzc/gfxwj/gfxwj2019/201908/t20190801_148109.htm,,
China,Asia,Executive,State Council Notice on the Publication of the Program to Build a National Technology Transfer System,Support,2017,No,-,-,X,X,-,-,Procurement - advisory,OSS,Approved,The State Council encourages the use of open source software to strengthen technology transfer functions for innovation and entrepreneurship. ,http://www.gov.cn/zhengce/content/2017-09/26/content_5227667.htm,,
China,Asia,Ministry,Artificial Intelligence Standardization White Paper (2021 Edition),Other,2021,No,-,-,X,X,-,-,R&D,OSS,Approved,A state-run think tank (China Electronics Standardization Institute) and the China Electronic Standardization Institute under the Ministry of Industry and Information Technology touched on the benefits of open source for AI (reducing secondary development and improving efficiency) and China's dependence on foreign open source deep learning system platforms and lack of domestic ones.,http://www.cesi.cn/images/editor/20210721/20210721160350880.pdf,https://cset.georgetown.edu/publication/artificial-intelligence-standardization-white-paper-2021-edition/,
China,Asia,Executive,"Circular of the State Council on Issuing the National 13th Five-Year Plan for the Development of Strategic
Emerging Industries",Strategy,2016,No,-,-,X,X,-,-,R&D,OSS,Approved,China's thirteenth five-year plan outlines agencies to support the development of open-source software communities.,http://www.gov.cn/zhengce/content/2016-12/19/content_5150090.htm,,
China,Asia,Executive,State Council Notice on the Publication of the National 13th Five-Year Plan for S&T Innovation,Strategy,2016,No,-,-,X,X,-,-,R&D,OSS,Approved,Encourages the development of open source communities and specifically open source cloud communities. ,http://www.gov.cn/zhengce/content/2016-08/08/content_5098072.htm,https://cset.georgetown.edu/publication/state-council-notice-on-the-publication-of-the-national-13th-five-year-plan-for-st-innovation/,
China,Asia,Agency,"About Promoting the Action of ""Going to the Cloud and Empowering Intelligence with Data"" to Cultivate a New Economy Notice of the Development Implementation Plan",Strategy,2020,No,-,-,-,X,-,-,R&D,OSS,Approved,"The accelerate digital economy innovation, the Central Cyberspace Administration of the National Development and Reform Commission directed development and reform commissions and cyberspace affairs offices of provinces, autonomous regions, and municipalities to increase support for common development platforms, open source communities, common solutions, and basic software and hardware, and encourage open source development of relevant codes, standards, and platforms. The strategy cites digital transformation as the purpose for OSS use.",https://web.archive.org/web/20201105123844/https:/www.ndrc.gov.cn/xxgk/zcfb/tz/202004/t20200410_1225542.html,,
China,Asia,Ministry,Artificial	Intelligence	Standardization	White	Paper	(2018	Edition),Other,2018,No,-,-,X,X,-,-,R&D,OSS,Approved,The China Electronics Standardization Institute and Standardization Administration of China created a white paper that outlines the current state of AI and provides recommendations for research to be conducted on the coordinated development of open source and standardization. The paper points to OSS as a key driver for innovation in AI. ,http://www.cesi.cn/images/editor/20180124/20180124135528742.pdf,,
China,Asia,Executive,"Notice of the General Office of the State Council on the Publication of the Action Plan for Promoting the
Transfer and Conversion of Scientific and Technological Achievements",Strategy,2016,No,-,-,X,X,-,-,R&D,OSS,Approved,The General Office of the State Council will support various institutions in their efforts to promote open source software to advance innovative resources for entrepreneurs. ,https://web.archive.org/web/20200925180059/http:/www.gov.cn/zhengce/content/2016-05/09/content_5071536.htm,,
China,Asia,Ministry,"""14th five-year plan"" software and information technology service industry development plan",Strategy,2021,No,-,-,X,X,-,-,R&D,OSS,Approved,"The MIIT features OSS prominently in its most recent software development plan. The plan looks to build and support OSS projects, strengthen the security of OSS, improve OSS governance rules. It also notes OSS as key in promoting domestic software and in fostering innovation.",https://www.miiteec.org.cn/ueditor/php/upload/file/20211201/1638346284560500.pdf,http://www.gov.cn/zhengce/2021-12/01/content_5655200.htm,
China,Asia,Ministry,“14th Five-Year” Plan for the Development of the Big Data Industry,Strategy,2021,No,-,-,-,X,-,-,R&D,OSS,Approved,The Ministry of Industry and Information Technology (MIIT) released a plan that directs progress for the construction of the open source community and open source platforms.,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2021/art_c4a16fae377f47519036b26b474123cb.html,https://cset.georgetown.edu/publication/14th-five-year-plan-for-the-development-of-the-big-data-industry/,
China,Asia,Executive,New Generation Artificial Intelligence Development Plan,Strategy,2017,No,-,-,X,X,-,-,R&D,OSS,Approved,The plan promotes the development of OSS AI platforms.,http://www.gov.cn/zhengce/content/2017-07/20/content_5211996.htm,,
China,Asia,Ministry,Guidelines for the Construction of a National New Generation Artificial Intelligence Standards System,Other,2020,No,-,-,X,X,-,-,R&D,OSS,Approved,"The Standardization Administration of China, the Office of the Central Cyberspace Affairs Commission, the National Development and Reform Commission, the Ministry of Science and Technology, and the Ministry of Industry and Information Technology created guidelines to promote the innovation of AI technology in the open source ecosystem and focus on the development of AI open source framework security standards.",http://bit.ly/3gIMqm9,http://sjzyj.ah.gov.cn/szjh/xyyj/40231695.html,Link recently broke and not available on wayback machine (put the subscript next to source II)
China,Asia,Ministry,Software Independent Innovation Evaluation System Platform,Support,2010,Yes,-,-,X,-,-,-,R&D,OSS,Approved,The MIIT and American Black Duck Software Company created a tool for scanning code to discover if the software uses OSS and what licenses are involved. They hoped this system will reduce management challenges and security risks of using OSS. ,https://www.miit.gov.cn/xwdt/gxdt/bsdw/art/2020/art_8e6839a5c0d44994a6227bbbaf0a3c0c.html,,
China,Asia,Ministry,Open Source Software Innovation Joint Laboratory,Support,2013,Yes,-,-,X,X,-,-,R&D,OSS,Approved,The MIIT established the CCN Open Source Software Innovation Joint Laboratory to promote the development of OSS and bring together OSS contributors. ,https://www.miit.gov.cn/xwdt/gxdt/bsdw/art/2020/art_6746266252184989b847b954a8798132.html,,
China,Asia,Ministry,2020 Open Source Hosting Platform Project,Support,2020,Yes,-,-,X,X,-,X,R&D,OSS,Approved,"The Technology Development Department of the Ministry of Industry and Information Technology announced the bidding results of the ""2020 Open Source Hosting Platform Project"", in which a consortium will rely on Gitee to build an independent open source hosting platform in China.",https://www.cec-ec.com.cn/cms/channel/1xmgg3/648.htm,https://www.sohu.com/a/413771144_827544,
Colombia,South America,Ministry,"Initiative ""Public Software Colombia""",Support,2010,Yes,-,-,-,-,-,-,Cooperation,Public Software,Replaced,Agreement between the Information and Communication Technologies Fund and the World Bank to support a model to share tech solutions between governmental institutions gave way to the Public Software Colombia initiative.,https://gobiernodigital.mintic.gov.co/portal/Iniciativas/Software-libre/,,
Colombia,South America,Ministry,Decree 767/2022 - Modification of Regulatory Decree 1078/2015 of the ICT Sector,Directives & Regulation,2011,No,-,-,-,X,-,-,Procurement - advisory,FLOSS / FOSS,Approved,"Modifies Decree 1078/2015 on regulation of the ICT sector to incorporate the principles from Law 1955/2019. Implementation of the Policy for Digital Government will promote technologies based on free software, without prejudice to investment in proprietary technologies.",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=77888#,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=186766,
Colombia,South America,Legislative,Law 1955/2019: National Development Plan 2018-2022,Bill,2010,No,X,-,-,X,-,-,R&D,FLOSS / FOSS,Approved,"Art. 147.5: a guiding principle for the projects for digital transformation will be the promotion of technologies based on free software, without prejudice to investment in proprietary technologies.",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=93970,,
Colombia,South America,Ministry,Training on the use of OSS for analysis of vulnerabilities,Support,2011,No,-,-,-,X,-,-,R&D,FLOSS / FOSS,Approved,"As part of the strategy Transform with Digital Government, the ICT ministry provided a range of seminars on digital services.",https://gobiernodigital.mintic.gov.co/portal/Eventos/176977:Uso-de-herramientas-o-software-libre-para-el-analisis-de-vulnerabilidades,,
Colombia,South America,Ministry,"Training on implementation of tools like Open Refine, Xroad and Python",Support,2010,Yes,-,-,-,X,-,-,Training,FLOSS / FOSS,Approved,ITC Ministry provided training on Open Refine. 76 entities of the Executive use OSS.,https://www.mintic.gov.co/portal/inicio/Sala-de-prensa/181632:Software-libre-es-una-realidad-en-76-entidades-de-la-Rama-Ejecutiva-con-apoyo-del-MinTIC,,
Colombia,South America,Legislative,Bill 17/09 (Congressional Gazette 603 from 23/07/2009),Bill,2010,No,-,-,-,X,X,-,Tech Neutrality,FLOSS / FOSS,Failed,Bill promotes the adoption and use of technology without preferencing any type. Bill was archived after the second debate.,http://svrpubindc.imprenta.gov.co/senado/index2.xhtml?ent=Camara&fec=23-07-2009&num=603,,
Colombia,South America,Legislative,Bill 83/02 (Congressional Gazette 402 from 27/09/2002),Bill,2010,Yes,-,X,X,-,X,X,Procurement - mandatory,FLOSS / FOSS,Failed,Bill is designed to promote the use of free software in Colombia. Art. 4: all governmental institutions and companies must use OSS exclusively.,http://svrpubindc.imprenta.gov.co/senado/index2.xhtml?ent=Camara&fec=27-09-2002&num=402,,
Colombia,South America,Legislative,Bill 21/07 (Congressional Gazette 339 from 24/07/2007),Bill,2010,Yes,-,-,X,-,X,X,Tech Neutrality,FLOSS / FOSS,Failed,"Initially introduced as a second attempt at the 2002 bill, it was later amended to not cover only OSS. Proposed Bill 021 specifically states a policy of technological neutrality in software procurement by government entities. The bill encourages exploration into all types of software and technology; however, certain language which calls for the promotion of national tech and software industries and mandates for universities to educate students in different types of software may suggest a proclivity for OSS.",http://svrpubindc.imprenta.gov.co/senado/index2.xhtml?ent=Camara&fec=24-07-2007&num=339,https://web.archive.org/web/20110809110802/https://slcolombia.org/Proyecto_de_Ley/TEXTO_APROBADO_PL_021-07-C,
Colombia,South America,Ministry,Training on the use of OSS for analysis of vulnerabilities,Support,2011,Yes,-,-,-,-,-,X,Training,FLOSS / FOSS,Approved,"In partnership with Fortinet, the ministry provided a training on the use of OSS for analysis of vulnerabilities.",https://www.mintic.gov.co/portal/inicio/Sala-de-prensa/Noticias/198596:740-colombianos-aumentaron-sus-conocimientos-en-ciberseguridad-con-alianza-entre-MinTIC-y-Fortinet &,,
Costa Rica,Central America and the Caribbean,Agency,R-CO-26-2007: Technical standards for the management and control of Information Technologies,Directives & Regulation,2012,No,-,X,-,-,-,-,How to Use,OSS,Replaced,"Chapter 3  seeks to promote independent from software, hardware, installing, and services providers. Modified in 2009 and repealed in 2020.",https://www.pgr.go.cr/wp-content/uploads/2016/12/Normas_tecnicas_N_2_2007_CO_DFOE_de_la_CGR.pdf,,
Costa Rica,Central America and the Caribbean,Executive,Executive Decree 40.373: General Regulations for the Administration and Use of Information and Communication Technologies of the Ministry of Culture and Youth,Directives & Regulation,2013,No,-,-,-,X,-,-,Procurement - advisory,FLOSS / FOSS,Approved,"Art. 47 states that the Ministry of Culture and Youth can use free software, ensuring respect for intellectual property.",http://www.pgrweb.go.cr/scij/Busqueda/Normativa/normas/nrm_texto_completo.aspx?param2=1&nValor1=1&nValor2=84007&nValor3=108196&nValor4=NO&strTipM=TC,,
Costa Rica,Central America and the Caribbean,Agency,Strategic Policies for the Management of Information and Communication Technologies of the Costa Rican Institute of Aqueducts and Sewers,Directives & Regulation,2012,No,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,Sec. 6.3.4 states that when possible the institute will implement free software tools for new projects or as alternatives to existing proprietary software.,http://www.pgrweb.go.cr/scij/Busqueda/Normativa/normas/nrm_texto_completo.aspx?param2=2&nValor1=1&nValor2=68582&nValor3=82013&nValor4=NO&strTipM=TC,,
Costa Rica,Central America and the Caribbean,Executive,Organizational structure of the Directorate of Information and Communication Technology,Directives & Regulation,2013,No,-,-,-,-,-,-,R&D,FLOSS / FOSS,Approved,"Establishes the Software Administrating Unit, in charge of managing initiatives for the implementation of Free and/or Licensed Software solutions. The Unit is also expected to conduct studies on the ministerial needs for free software, and conduct pilot tests with the free software tools.",http://www.pgrweb.go.cr/scij/Busqueda/Normativa/normas/nrm_texto_completo.aspx?param2=1&nValor1=1&nValor2=75557&nValor3=93774&nValor4=NO&strTipM=TC,,
Costa Rica,Central America and the Caribbean,Legislative,"Bill N. 16.912 ""Use of Free Software in State Institutions""",Bill,2012,Yes,-,X,-,-,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,Art. 3 states that institutions and state-owned companies must give preference to free software.,http://www.pgrweb.go.cr/scij/Busqueda/Normativa/pronunciamiento/pro_ficha.aspx?param1=PRD&param6=1&nDictamen=16047&strTipM=T,,
Costa Rica,Central America and the Caribbean,Executive,"Decreto Ejecutivo N°. 30236-J, modifying N° 30.151-J",Directives & Regulation,2011,No,-,-,-,-,X,X,R&D,OSS,Replaced,"Art. 11 states that public institutions can use OSS when it is possible and useful, ensuring respect for intellectual property.",http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?param1=NRTC&nValor1=1&nValor2=47957&nValor3=92050&strTipM=TC,,
Costa Rica,Central America and the Caribbean,Legislative,Use of Free Software in State Institutions,Bill,2011,Yes,X,X,X,-,-,X,R&D,FLOSS / FOSS,Failed,"Member of political party (PLN) introduced a law on OSS emphasizing its technological independence, local development, costs of ownership but overall, security - one of governments' main concerns. In November 2006, the Permanent Committee on Government and Administration of the Legislative Assembly voted down on it. It was archived in 2007.",http://www.pgrweb.go.cr/scij/Busqueda/Normativa/pronunciamiento/pro_ficha.aspx?param1=PRD&param6=1&nDictamen=16047&strTipM=T,http://ippa.org/jopp/download/vol8/issue-1/Article%203_Sieverding.pdf,
Costa Rica,Central America and the Caribbean,Ministry,Decreto ejecutivo N° 37549: Regulation for the Protection of Computer Programs in the Ministries and Institutions Attached to the Central Government,Directives & Regulation,2012,No,-,-,-,X,-,X,Procurement - advisory,OSS,Approved,Art. 14 allows ministries to use OSS as a useful alternative.,http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?nValor1=1&nValor2=74325,,
Croatia,Europe,Ministry,OSS Manual,Support,2015,Yes,-,-,-,X,X,-,How to Use,OSS,Approved,"Published manual on the use of two OSS solutions, Linux and LibreOffice; target audience is public administrations, but accessible to all potential users.",https://joinup.ec.europa.eu/collection/open-source-observatory-osor/news/croatia-publishes-linux-lib,,
Croatia,Europe,Executive,Open Source Policy,Directives & Regulation,2006,Yes,X,-,-,X,-,-,Procurement - advisory,OSS,Approved,"The Croatian government (Central State Administrative Office for e-Croatia) adopted an open source software policy and issued the following guidelines for developing and using open source software in the government institutions: Government institutions will choose and/or develop open source solutions as much as possible, instead of using closed source alternatives. The government will support development of closed source solutions that use open standards for protocols and file formats, and which are developed in Croatia. The government will support the use of open source programs and open standards outside of its institutions. The government will support the use of open source solutions in educational institutions; both closed and open source solutions will be equally presented to students.",https://slashdot.org/story/06/08/23/009210/croatia-adopts-open-source-policy,,
